GEOID,State,ssm_hh,total_hh,county_to_urb,urb_ssm_rate,adj_ssm_hh,adj_hh,adj_urb_ssm_rate,per_ssm,msm_index,msm_urb,male_pop,msm_pop
18029,IN,37.578614139992965,50709,2,0.001316614162945478,104.34280172879521,50775.7641875888,0.002629765938810684,0.0020549725523244786,0.7814279293821271,0.03776920561073565,19556,577.17
18031,IN,19.516560139453805,26432,4,8.506617793153081e-4,42.00125229031603,26454.48469215086,0.0016998775377797136,0.0015876798500927879,0.9339966055240237,0.02678621884916539,10098,252.63
18033,IN,57.82684485764091,43312,4,8.506617793153081e-4,94.67070784334553,43348.843862985705,0.0016998775377797136,0.0021839269379957337,1.2847554541183352,0.02678621884916539,16375,563.53
18035,IN,163.1135531135531,112156,3,0.0012836746938390434,307.0853720757649,112299.9718189622,0.0025640579713467324,0.002734509787507467,1.0664773644221497,0.03430668308799435,43953,1608.12
18037,IN,13.733875653689715,43584,4,8.506617793153081e-4,50.8091186433681,43621.07524298968,0.0016998775377797136,0.0011647837280566258,0.6852162595065537,0.02678621884916539,16479,302.46
18039,IN,79.992673992674,206841,3,0.0012836746938390434,345.50923134103556,207106.51655734837,0.0025640579713467324,0.0016682682760750462,0.650635942992667,0.03430668308799435,73866,1648.77
18041,IN,24.21499128413713,23391,4,8.506617793153081e-4,44.1128209641015,23410.897829679965,0.0016998775377797136,0.001884285740984097,1.1084832284125874,0.02678621884916539,8930,265.15
18043,IN,119.21491382342595,80191,2,0.001316614162945478,224.79552016418677,80296.58060634077,0.002629765938810684,0.00279956529240344,1.0645682382172565,0.03776920561073565,29997,1206.12
18045,IN,5.059848925043579,16468,4,8.506617793153081e-4,19.068547106808072,16482.008698181766,0.0016998775377797136,0.0011569310182994652,0.6805966856945381,0.02678621884916539,6388,116.46
18047,IN,21.596904678156875,22850,2,0.001316614162945478,51.681538301461046,22880.084633623304,0.002629765938810684,0.00225880013684533,0.8589358100313961,0.03776920561073565,8823,286.23
18049,IN,23.130737943056364,20420,4,8.506617793153081e-4,40.50125147667495,20437.37051353362,0.0016998775377797136,0.0019817251661535928,1.1658046665773425,0.02678621884916539,7749,241.98
18051,IN,17.348053457292274,33006,4,8.506617793153081e-4,45.42499614537333,33034.07694268808,0.0016998775377797136,0.0013750950639299735,0.8089377224938491,0.02678621884916539,12592,272.85
18053,IN,65.41661824520628,66560,4,8.506617793153081e-4,122.03666627643318,66616.62004803123,0.0016998775377797136,0.0018319252190886234,1.0776807025060071,0.02678621884916539,24940,719.94
18055,IN,18.43230679837304,30900,4,8.506617793153081e-4,44.71775577921606,30926.28544898084,0.0016998775377797136,0.0014459465509683352,0.8506180703210838,0.02678621884916539,12274,279.66
18057,IN,248.36440379880406,349527,2,0.001316614162945478,708.5566023306482,349987.1921985318,0.002629765938810684,0.002024521520000984,0.7698485595705058,0.03776920561073565,125824,3658.53
18059,IN,104.96095673584242,80170,2,0.001316614162945478,210.5139141791814,80275.55295744335,0.002629765938810684,0.002622391331153852,0.9971957170986224,0.03776920561073565,30330,1142.33
