income,mean,median,q025,q975,state
3,25050.211860489966,24874.53680395872,17712.382557470017,33417.19143641998,OK
4,13585.890950062747,13245.654944083104,7681.4626550197845,21355.81758229107,OK
1,12945.815332956443,12732.448700194436,8232.252266549838,18852.988682076964,OR
2,12600.796524271433,12290.273261755407,7361.310052414577,19539.04135357364,OR
3,33496.21048973568,33279.23763059676,24925.230728086153,43452.03194276901,OR
4,23560.48508850253,23304.352198057117,15805.315627328975,32822.03989080602,OR
1,32842.200959344744,32401.743129275772,20950.724305699034,47204.459707259484,PA
2,32069.931534676438,31413.289986719734,19324.40711684305,48467.801085125626,PA
3,81149.4435461716,80837.37751469621,62111.37822235068,101860.35296771381,PA
4,56362.67836140862,55812.667160883866,38857.602786717296,76786.3514440277,PA
1,6414.446910556809,6216.646834669598,3223.962916557054,10706.759869190037,RI
2,4352.079371452508,4120.621989569216,1951.1443751748716,8020.924633573502,RI
3,8216.904542866245,8059.153807237859,5151.001624259452,12160.029076091576,RI
4,4041.640293849108,3911.025952619132,2259.2557310663897,6605.435977507344,RI
1,19761.635941402285,19568.460973498597,11628.085268611512,28981.84196359763,SC
2,10512.447218456196,10163.87015594333,5524.154429582167,17449.942194485884,SC
3,21169.232378809444,20945.99971401038,14130.701965001925,29448.995700954594,SC
4,12098.987425251624,11755.653130834631,6503.312463247267,19682.935935885413,SC
1,1656.8199500973537,1617.590486303425,877.2204632467377,2665.4988249699463,SD
2,1408.5535188034644,1327.4374573648777,568.3521273412542,2665.029554845865,SD
3,2876.8115944060814,2836.5906918897053,1677.2716391161405,4298.759733760639,SD
4,2125.694886103562,2043.9284341189034,937.6494034067354,3735.283529300426,SD
1,19322.76279897367,19125.032463014322,12819.129760969925,26933.761503003527,TN
2,16973.396291562694,16640.97657696916,9986.369305512011,25814.811285054544,TN
3,39325.54593914788,39142.38675816935,29405.41084425099,50251.42800218984,TN
4,24140.732324100092,23789.9835479631,15627.388454231315,34562.7014253625,TN
1,75159.58495782345,73371.54930035386,46767.06879549508,113757.89060533248,TX
2,75373.8104317363,72745.11857503038,42214.872676299274,123166.97811444546,TX
3,192334.59888011662,191388.12685084355,138928.60626805015,252009.88953081338,TX
4,137530.60190052813,135407.56729614164,87248.06127827382,199517.52248456067,TX
1,5607.287732199108,5479.641200337523,3232.2742888390935,8701.202444134084,UT
2,4586.862338832955,4397.79706659449,2409.7708362248613,7851.848958271244,UT
3,15901.013735974157,15626.542337469462,10408.219627385972,22915.187468019376,UT
4,21769.29236538877,21524.80816832664,14243.509378202216,30680.76085089168,UT
1,18846.998569665284,18016.72935619053,10717.440188970966,31692.048892356284,VA
2,20538.434915573616,19631.099401361906,10985.159763795275,35100.12094890153,VA
3,51632.62231771036,51293.0962034675,37481.9608124159,67431.4666387791,VA
4,43343.793999274734,42981.42330915675,29197.760654963513,59530.94234784197,VA
1,1347.314714027088,1281.661694208618,637.5901213181967,2439.729048491829,VT
2,2223.28965840156,2037.6598968902063,772.7745275448281,4633.0098395064115,VT
3,4466.387179764541,4365.10209544609,2364.5871230171338,7092.157807560628,VT
4,3588.6451580903367,3420.697119002395,1383.7249746305213,6575.877805902171,VT
1,24448.875925637964,23959.726985274316,15401.125083171384,36194.91598908979,WA
2,25111.15703811253,24310.339046626374,14340.77349792034,40481.1694166206,WA
3,61802.67101788308,61149.45271383034,44564.41401380474,82688.29280547799,WA
4,45002.94820493631,44273.84226121618,29972.419491119395,63918.06116949777,WA
1,12688.536918673797,12471.850770531106,7571.4371819731,19060.77074038337,WI
2,11741.020288048474,11452.199184970159,6724.8736206976855,18312.180355168155,WI
3,31509.721556657867,31345.35667045314,23354.578652405133,40493.83244011929,WI
4,22984.961678049578,22707.04843472883,15001.993876927625,32514.987221697003,WI
1,6456.5941708848795,6399.41647274764,3883.367763666914,9377.05402392093,WV
2,4441.262096015764,4295.550719973662,2119.386114616824,7564.386459469093,WV
3,7109.1437645570495,7019.916513450833,4392.783314737374,10296.122391022738,WV
4,4016.9838875375654,3826.0339909101876,1809.4359239703365,7248.674931065341,WV
1,845.290910157552,801.9288750393093,399.67581987652324,1537.1989228606992,WY
2,1227.4390426544676,1118.639753025101,415.174316330764,2589.1233935213763,WY
3,2243.9746288263977,2175.974125830262,1114.0897512850036,3732.4794882781075,WY
4,1995.1964126655278,1903.0296143646249,729.7945266625148,3719.9180616518224,WY
