age,mean,median,q025,q975,state
3,3738.371711082574,3537.9299300186476,1649.1196548498908,6911.656262774612,SD
4,1111.9654083764299,1031.7544011329412,451.81406187688236,2226.1124001083913,SD
5,5607.214018012318,5453.715913466711,2788.996230696168,9317.976258406374,SD
1,21162.609118720004,20188.2078596674,11592.28300271659,36394.32367401568,TN
2,41310.27913936439,40229.552880546864,26618.141363664276,62036.43074448792,TN
3,30200.46775400996,29347.311240619503,18296.533882150525,46804.38671152528,TN
4,17099.057476795162,16684.625417236995,10562.502390718726,26076.340875777638,TN
5,51161.62078823474,50503.3306263988,33806.89549573411,72108.49973072768,TN
1,84846.25280041635,82671.75951510071,50546.36136678491,131271.38024643314,TX
2,184498.87171984234,182143.91688822725,125773.48659538354,257421.94835940792,TX
3,116518.83017979418,114394.98138818963,76517.96843456698,168525.0536464603,TX
4,80335.27342217087,78397.46403692238,49668.78178876345,122094.2003695772,TX
5,178688.73542866576,176375.14295902004,122677.48103904311,248334.16320318272,TX
1,9657.245951191913,9221.36644085233,4843.824995043658,16896.681601555178,UT
2,19760.96380076209,19453.80233877976,12948.942709048482,28372.20018016995,UT
3,11911.026450682806,11662.992207156858,7227.463729812451,18019.711742568506,UT
4,7024.814643387711,6791.841505646504,3954.2801617586783,11437.231170763416,UT
5,16859.3912329024,16602.173280345713,10919.299188508454,24338.488221997155,UT
1,41622.29771448547,40240.52811589683,22581.384201588466,68478.17147510411,VA
2,52350.79350846011,51142.93195092997,32779.01983319215,78861.71069764614,VA
3,46918.97979880394,45950.9409513491,29062.304166408998,70593.4494203145,VA
4,32622.406907463905,31176.90869840305,17232.300420095307,56121.80765761741,VA
5,61417.2856189742,60594.56944179869,42184.44445726295,85513.23528745693,VA
1,3487.2482624585896,3010.716468340877,1101.0449644891771,8742.78622446859,VT
2,5576.276682683082,4934.299865174538,1943.2331315214312,12604.373729500709,VT
3,5938.172470961783,5501.584162128149,2209.2793957453605,12023.03591938248,VT
4,1094.7082656602,1008.3816085227265,428.48321934968396,2261.1676838346693,VT
5,10358.979800155112,10100.642334965676,4642.088109180019,17563.98689207186,VT
1,28456.38696396518,27690.398070627838,16612.43443598245,44544.444731306576,WA
2,63222.683501771535,62527.152065298105,43955.97266598867,86541.83806100898,WA
3,40830.9685069247,40238.6443805953,27258.845564977775,57880.18956442231,WA
4,27678.24795403821,27056.33591346942,17214.887426819063,41761.759397531474,WA
5,65542.70822785753,64928.420755513,46323.44724202217,88387.82221973591,WA
1,18655.391807269298,17657.80002803588,9370.739939495075,33727.25441616695,WI
2,31027.206752710143,30060.762451082242,19008.176234690556,48512.18026968765,WI
3,24830.533134531517,24092.146045638583,14617.560476322,39110.82302080726,WI
4,14224.774527643538,13672.42868460893,8190.174389444686,23404.472166236006,WI
5,44543.989130127666,43923.37451236803,28900.73155745302,63460.71299092349,WI
1,5891.530620418001,5417.952396598973,2277.9246954167393,12269.966110482012,WV
2,9606.90796333486,9044.454548343554,4422.88884951225,17833.080830250783,WV
3,8628.040825324186,8210.385320021973,4070.9188658121816,15480.530640719571,WV
4,3923.3518329948683,3668.5185003187717,1737.1582671664887,7568.145254009891,WV
5,15322.419861970906,14990.416571100737,8272.241050170165,24205.24792089273,WV
1,1719.9361463105568,1442.537060645392,472.8695717017323,4576.972946474315,WY
2,3455.054854175895,3092.295780676849,1165.5095041935588,7631.197762382191,WY
3,3733.1273920781355,3489.7445116966073,1403.2014972464094,7399.311568804833,WY
4,602.5216698915636,547.8405531021232,225.9335726107739,1292.7183242358478,WY
5,4948.24203749324,4744.486866784753,2149.5005010641994,8872.95433824193,WY
