state,age,mean,median,q025,q975
NJ,5,0.023182069577567972,0.022759117338315066,0.015447062623331892,0.033357357323159996
NM,1,0.04128363537624824,0.03813774775433147,0.015033923345357185,0.08520153216921805
NM,2,0.04917478428778149,0.047256538025065284,0.024275790581722433,0.08489790479848948
NM,3,0.040764445766373794,0.039325285728063195,0.020394176220965395,0.06924896480373227
NM,4,0.025463035736113637,0.023614092929016745,0.01038190111171778,0.05120762260371026
NM,5,0.029446487353354724,0.02859384053291153,0.016119708101567945,0.04741608478955208
NV,1,0.02615262642394939,0.02485018063745698,0.012505491186063296,0.047398638375394736
NV,2,0.05036657134949542,0.04939373315461761,0.03152172006092866,0.07466280867332974
NV,3,0.027910008059166304,0.027013951898728718,0.015765900236116258,0.0452438501689743
NV,4,0.02338493709191322,0.022458324667968113,0.012554271312627723,0.039494776441044745
NV,5,0.032206716512580086,0.03165085436214775,0.02076129328083847,0.04654120364161126
NY,1,0.03825005909275672,0.037281391804092116,0.022674933718344403,0.059214961733266486
NY,2,0.05638580811024096,0.05557254554538378,0.03756052148141945,0.07965099210013603
NY,3,0.03555747170580829,0.03484069434789371,0.022893277002213833,0.05227105693068404
NY,4,0.02853095001309645,0.027831129482976308,0.017508566603758283,0.04361325601705391
NY,5,0.03381110985127256,0.033393808187414074,0.023537932429269916,0.04632946050843993
OH,1,0.03584343939449547,0.03452182822880634,0.02024726902450915,0.05890340984461905
OH,2,0.045632432472280555,0.044660176559787705,0.029920504857644078,0.06651868627404742
OH,3,0.035246444058689,0.03448878504155539,0.022122656461836625,0.05274347958380545
OH,4,0.02253585491603616,0.022003484355761486,0.013941147105712365,0.03413052245965302
OH,5,0.02763138347751022,0.027339159630406763,0.019173241280215334,0.03776160456130296
OK,1,0.031943775004868204,0.02968535335052598,0.016462306645948454,0.06081938960558972
OK,2,0.04501545240317506,0.04313214341815749,0.0261551039327791,0.07390450499998293
OK,3,0.03828828670916478,0.03688433262498733,0.02100132351418462,0.06341436570693183
OK,4,0.016506961128710078,0.016030835548719136,0.00963824798873545,0.02602848268749678
OK,5,0.029453127703010715,0.02888261643536999,0.018260414686641857,0.043751787453945534
OR,1,0.04546996137998577,0.04397894956469434,0.025734919799320688,0.073503975310247
OR,2,0.054375563279829224,0.053384305856255115,0.0363427243377503,0.07776898833233094
OR,3,0.0428571929351639,0.04208868456935473,0.027742658119193853,0.06248729753714223
OR,4,0.02943260496938216,0.028760095166686317,0.01813028865226297,0.04464992622080755
OR,5,0.0328475091954206,0.032540241400859996,0.02278195480621616,0.04474248428090537
PA,1,0.03839515895069771,0.037231581808371536,0.021971046695642156,0.061258396410634214
PA,2,0.04450634894202911,0.04379067808786904,0.03001077835458161,0.06281538497751743
PA,3,0.03426503194137883,0.033692615782465234,0.022370448805842276,0.049423265433094714
PA,4,0.025038676786273428,0.024398566259443675,0.01523079522127802,0.0384860707917538
PA,5,0.026213037883659945,0.02596714068329635,0.01864294556183051,0.035224873513688984
RI,1,0.03759684956072293,0.036335078082988366,0.01997614841530031,0.06227659284577648
RI,2,0.048856139010173966,0.04793441918549422,0.030536552636195546,0.07238347202398909
RI,3,0.030783195428829378,0.029920421542968,0.017936326971598703,0.04840483192368366
RI,4,0.029278811827930795,0.02836230424226721,0.016189545725190345,0.04755323801847567
RI,5,0.02961440891247621,0.029150670086330134,0.019429306063662794,0.04246279228446194
SC,1,0.03651408771089757,0.03398300090553996,0.015482183028627491,0.07169446444299649
SC,2,0.03967096571045874,0.038226904489854774,0.021238507162267627,0.06652935565389774
SC,3,0.03109276233719801,0.030043805821190112,0.017231426060539602,0.05075870345782963
SC,4,0.02324936028164232,0.021853533130626508,0.0110857259280228,0.04343311682098982
SC,5,0.022890034662623793,0.022234395313597142,0.01329135381911806,0.03625079736809887
SD,1,0.02616521270671354,0.02334136801650583,0.008606109273536382,0.05988098880070781
SD,2,0.03414165274517262,0.03173531229899122,0.014657978051028238,0.06640596246771695
SD,3,0.03224888228561631,0.030543215573143486,0.014308870673037403,0.059560622885891486
SD,4,0.011444849469454661,0.01061002690128395,0.004633509535737125,0.023075273155595072
SD,5,0.021250481402169438,0.020653772218336034,0.010622393986934148,0.03522042405707658
TN,1,0.03368340682929175,0.032159682236825464,0.018447200793107407,0.05775419369052003
TN,2,0.04349325663316072,0.04232230399196236,0.027921041040136995,0.06532912050058635
TN,3,0.03449914289807924,0.0335750882925344,0.02097614792647464,0.053286138383672126
TN,4,0.01992832506738568,0.019424374263942376,0.012261217877345116,0.03044441297783411
TN,5,0.02671529123789663,0.026388797060417475,0.017724870438094283,0.03762949808514167
TX,1,0.02905283040440455,0.028305664518775964,0.017261952941526895,0.04485783191817797
TX,2,0.04276717249834321,0.04222782764043399,0.029032587583045347,0.05960746387657687
TX,3,0.02796755442470444,0.027487957446440572,0.01834601732580517,0.04028223576524327
TX,4,0.022124571734620617,0.021597118068888813,0.013623287158602393,0.03360859914301964
TX,5,0.026447728272102653,0.02609159830727365,0.01815441206813557,0.036637191217164536
UT,1,0.02494611192674223,0.02380954772294843,0.012462644529861894,0.04364829059081393
UT,2,0.039763127451716035,0.03911603413868922,0.0259351045966195,0.057050359696603166
UT,3,0.025562167161781862,0.02502691593112765,0.015524053397662482,0.03853805561993269
UT,4,0.01928232643554251,0.018620199453587012,0.010853717766917265,0.03142323193149703
UT,5,0.02527311831717438,0.02484908111486725,0.01634981174233973,0.03648021135628017
VA,1,0.0506558848962503,0.04898660438065948,0.02756234003916515,0.08324007978461885
VA,2,0.04439741091426557,0.04338599509145266,0.02780621874049202,0.06673398202545504
VA,3,0.04046626260896024,0.03958533557596383,0.025075650254888632,0.0610183467214115
VA,4,0.03018693238788096,0.02893521142344546,0.01591322869666071,0.051673409859311084
VA,5,0.026215836348147115,0.025875022241942228,0.017940044290149514,0.03639991326114492
VT,1,0.05269380533527216,0.04552547402060218,0.016683029913696246,0.1312187069664237
VT,2,0.07206089679724419,0.06378846916040136,0.025226702510113715,0.16190208302962691
VT,3,0.07736084166951503,0.07182844886452797,0.02891070402114076,0.15600044485820205
VT,4,0.014198035941236472,0.013053960668798239,0.005527651105129023,0.02950281538478419
VT,5,0.04740875318037237,0.046238104123248816,0.021477452497086696,0.08033914673544684
WA,1,0.0419660892565026,0.04089373620344852,0.024515816272816838,0.06553236300895189
WA,2,0.0522414856105953,0.05164641898838609,0.036226525929793196,0.07156829770207422
WA,3,0.03661620479386082,0.03610554189823243,0.024447307139748672,0.05181526031942921
WA,4,0.029267638288213462,0.028636456056969593,0.018160191158100723,0.04396910534479892
WA,5,0.03138030182939387,0.03107767210202942,0.022240298805862042,0.0423409940442938
WI,1,0.03371932349179337,0.031881761402363436,0.016888412180191676,0.0606244248242889
WI,2,0.0415125362768782,0.040183312684607266,0.0252963159059948,0.06497031315806198
WI,3,0.033136011701207384,0.03220122288315487,0.019517163557397136,0.052072472903113044
WI,4,0.020092822032568007,0.019282925348815847,0.011526625419161687,0.03333035252494895
WI,5,0.024773362585972597,0.024428230521508075,0.01611971587957608,0.03536213629645329
WV,1,0.03654385404340872,0.03356875339269346,0.0140732569585731,0.075566815485808
WV,2,0.04413101274326279,0.04157050638816342,0.020372998739244193,0.08178899030493889
WV,3,0.0399278124836956,0.03804688720947563,0.01890036924935105,0.07135879194623992
WV,4,0.01732453332469292,0.016176586933746413,0.007620347376967176,0.03355573048953546
WV,5,0.026501869666254042,0.025922280662637687,0.014340411584243205,0.041856925142896
WY,1,0.03154472764892262,0.026423590977766365,0.008714962488306737,0.08373075601624584
WY,2,0.04473917437765204,0.0400163442600716,0.015133995240753114,0.0985424647240843
WY,3,0.046938001668381,0.043912436978694395,0.017771378759844064,0.0922943549025084
WY,4,0.009058477178610243,0.008247738818777252,0.0033884488913319432,0.01945580403714725
WY,5,0.028162104434250178,0.026987917848551417,0.01227929447771289,0.050439235107597825
