age,mean,median,q025,q975,state
5,24640.738354355766,24354.7441225382,16606.637897169527,34282.027524748235,MO
1,4400.866447520445,3936.085839256352,1746.553469999182,9744.670818862289,MS
2,6995.595306137254,6437.617616605647,3026.33811010791,13847.052380400411,MS
3,6987.187893904152,6618.81138452176,3202.3426943303684,12788.725442205883,MS
4,2158.3352689396356,2046.4911439086704,1085.4680751652882,3886.9198689758464,MS
5,9841.443683100688,9541.427009761795,4988.992068853843,16330.968677076191,MS
1,1543.802655401231,1399.1592035653266,541.5720025117556,3379.5749603371714,MT
2,2742.6865151683255,2554.8819839962694,1204.898535512714,5292.849139517827,MT
3,2619.95161001142,2486.601195532024,1161.6166937998578,4822.981725902778,MT
4,793.924474836553,734.4609267853904,320.3453571637458,1604.4127039560337,MT
5,4330.423074660924,4232.218685435304,2216.1929498698187,6991.748579621342,MT
1,17503.75773996261,16618.275254312794,9049.331829118497,30784.958211353493,NC
2,30198.330332395253,29363.3684979328,18910.436480603646,46129.15654181321,NC
3,22413.641632814888,21807.19766090443,13460.134465153704,34777.6131647297,NC
4,14057.663603210534,13586.869018319288,8390.730273116635,22429.927124059406,NC
5,38981.61094275352,38427.335362719285,25370.70670777303,55721.349788292886,NC
1,1640.6670114154958,1517.3942358214065,607.1928312125517,3364.570084566834,ND
2,2448.58410724633,2343.647929786848,1183.612928454266,4304.710557496004,ND
3,1830.1168832107567,1757.9692070439025,887.5561109396677,3172.2781794074663,ND
4,756.6152771823098,693.4191325327567,292.18607861674246,1578.4832816219364,ND
5,2505.750704631972,2431.325684496911,1300.5021943506508,4122.25988313537,ND
1,3117.5728318184156,2881.571851729279,1143.8407087487976,6397.637285360638,NE
2,5060.713271450438,4837.080359383979,2459.073055563677,8898.202004795927,NE
3,4318.10230725523,4157.799847023005,2127.5527947753776,7400.315946077176,NE
4,1988.1869391634652,1845.4045146481858,810.2145354764023,3989.9096185413196,NE
5,6297.546840045379,6155.023821704319,3349.115407049074,10063.185527672596,NE
1,3076.3491244414504,2880.8530106800395,1506.1500107103984,5783.556952280207,NH
2,4744.3970797467255,4467.017469290315,2435.658501059915,8537.782382979969,NH
3,4443.924152921485,4254.59201482585,2358.357517372389,7582.125999908298,NH
4,2121.6069607739923,2045.8763427534923,1146.1928661850654,3517.944959768917,NH
5,7661.546898022299,7530.385281063123,4491.012979201844,11539.88606775472,NH
1,19201.05190636768,18441.849386505102,9871.873574892019,32884.51056647871,NJ
2,24499.082636311123,23892.473854910786,15604.685059115995,36828.582212721754,NJ
3,20299.20362781333,19711.74710005815,12133.801704632757,31748.433177012364,NJ
4,18862.20700002498,18123.284265928996,10181.818823649623,31814.86600457096,NJ
5,30317.342576498213,29762.089693237955,20204.844696023178,43645.36947887392,NJ
1,4240.696269705523,3918.8734164408106,1545.8398141773214,8750.011288700916,NM
2,7026.724261808216,6751.749393681453,3469.84044230982,12128.604658136988,NM
